time,value
1,-241.81
2,-444.21
3,-541.81
4,-649.00
5,-751.39
6,-849.00
7,-749.00
8,-649.00
9,-644.21
10,-644.21
11,-646.60
12,-549.00
13,-549.00
14,-544.21
15,-549.00
16,-441.81
17,-451.39
18,-444.21
19,-439.42
20,-446.60
21,-339.42
22,-339.42
23,-341.81
