10103.53;521.94;83.8
10108.32;517.15;69.4
10103.53;517.15;59.8
10091.56;519.54;71.8
10098.74;519.54;74.2
10105.93;524.33;74.2
10115.50;519.54;71.8
10110.71;517.15;76.6
10117.90;519.54;81.4
10110.71;517.15;81.4
10110.71;524.33;79.0
10103.53;521.94;76.6
10103.53;521.94;76.6
10103.53;526.72;71.8
10093.95;526.72;79.0
10093.95;526.72;79.0
10103.53;519.54;81.4
10103.53;514.75;81.4
10105.93;519.54;83.8
10101.14;519.54;86.1
10103.53;519.54;81.4
10101.14;524.33;81.4
10096.35;529.12;79.0
10105.93;517.15;76.6
10101.14;517.15;71.8
10105.93;519.54;74.2
10105.93;509.96;59.8
10113.11;512.36;62.2
10103.53;521.94;67.0
10105.93;521.94;74.2
10108.32;526.72;76.6
10108.32;521.94;69.4
10108.32;524.33;81.4
10105.93;521.94;71.8
10103.53;519.54;76.6
10103.53;524.33;71.8
10110.71;521.94;69.4
10108.32;519.54;69.4
10108.32;521.94;76.6
10103.53;524.33;71.8
10108.32;519.54;74.2
10108.32;529.12;81.4
10115.50;524.33;74.2
10105.93;517.15;76.6
10105.93;517.15;76.6
10098.74;521.94;79.0
10101.14;517.15;79.0
10105.93;524.33;79.0
10108.32;529.12;71.8
10103.53;519.54;67.0
10108.32;526.72;69.4
10108.32;512.36;79.0
10115.50;509.96;67.0
10113.11;517.15;83.8
10113.11;517.15;83.8
10103.53;517.15;79.0
10105.93;521.94;83.8
10101.14;524.33;79.0
10103.53;531.51;69.4
10103.53;526.72;69.4
10103.53;524.33;69.4
10105.93;524.33;62.2
10110.71;529.12;67.0
10113.11;526.72;62.2
10108.32;524.33;71.8
10101.14;524.33;86.1
10101.14;526.72;81.4
10110.71;512.36;86.1
10105.93;507.57;76.6
10105.93;517.15;69.4
10103.53;519.54;69.4
10098.74;519.54;74.2
10103.53;524.33;76.6
10093.95;519.54;79.0
10101.14;519.54;79.0
10098.74;512.36;76.6
10098.74;524.33;76.6
10108.32;517.15;74.2
10103.53;517.15;69.4
10096.35;526.72;69.4
10098.74;521.94;64.6
10105.93;519.54;71.8
10096.35;519.54;71.8
10098.74;521.94;74.2
10103.53;519.54;74.2
10101.14;524.33;76.6
10103.53;529.12;64.6
10108.32;524.33;76.6
10108.32;521.94;71.8
10110.71;519.54;64.6
10105.93;519.54;81.4
10098.74;524.33;69.4
10105.93;524.33;71.8
10103.53;521.94;74.2
10103.53;521.94;74.2
10101.14;524.33;74.2
10113.11;524.33;86.1
10113.11;524.33;86.1
10098.74;526.72;86.1
10086.77;521.94;74.2
10101.14;521.94;79.0
10103.53;517.15;81.4
10108.32;521.94;81.4
10101.14;521.94;71.8
10101.14;514.75;81.4
10103.53;509.96;71.8
10105.93;517.15;79.0
10103.53;521.94;71.8
10101.14;517.15;74.2
10101.14;524.33;76.6
10108.32;517.15;69.4
10108.32;517.15;71.8
10105.93;514.75;79.0
10108.32;521.94;76.6
10113.11;526.72;71.8
10105.93;524.33;69.4
10115.50;517.15;86.1
10115.50;514.75;90.9
10108.32;519.54;83.8
10098.74;512.36;69.4
10098.74;512.36;69.4
10105.93;529.12;67.0
10108.32;533.91;71.8
10105.93;521.94;67.0
10105.93;521.94;67.0
10108.32;512.36;83.8
10110.71;521.94;79.0
10117.90;517.15;81.4
10120.29;519.54;79.0
10115.50;517.15;69.4
10115.50;517.15;69.4
10108.32;519.54;71.8
10103.53;524.33;81.4
10108.32;524.33;79.0
10108.32;519.54;76.6
10103.53;509.96;57.4
10105.93;521.94;69.4
10098.74;512.36;74.2
10101.14;517.15;83.8
10101.14;519.54;69.4
10101.14;519.54;69.4
10103.53;519.54;64.6
10113.11;519.54;64.6
10105.93;509.96;64.6
10103.53;526.72;74.2
10103.53;521.94;81.4
10108.32;521.94;81.4
10105.93;524.33;83.8
10108.32;529.12;88.5
10103.53;529.12;83.8
10096.35;519.54;81.4
10101.14;517.15;74.2
10101.14;519.54;86.1
10103.53;519.54;83.8
10101.14;514.75;83.8
10098.74;514.75;83.8
10105.93;514.75;83.8
10108.32;514.75;88.5
10110.71;519.54;76.6
10113.11;519.54;76.6
10115.50;526.72;76.6
10110.71;526.72;81.4
10115.50;521.94;71.8
10120.29;517.15;74.2
10105.93;517.15;74.2
10105.93;514.75;74.2
10101.14;517.15;74.2
10096.35;519.54;74.2
10105.93;519.54;76.6
10103.53;517.15;79.0
10110.71;514.75;83.8
10113.11;524.33;90.9
10117.90;519.54;76.6
10113.11;521.94;67.0
10110.71;519.54;76.6
10117.90;517.15;67.0
10115.50;519.54;67.0
10113.11;517.15;69.4
10108.32;519.54;64.6
10108.32;517.15;76.6
10105.93;529.12;69.4
10103.53;521.94;83.8
10105.93;517.15;67.0
10103.53;519.54;83.8
10101.14;509.96;88.5
10108.32;517.15;79.0
10105.93;519.54;81.4
10108.32;531.51;88.5
10105.93;517.15;83.8
10105.93;519.54;67.0
10101.14;521.94;76.6
10105.93;517.15;79.0
10101.14;517.15;83.8
10101.14;524.33;81.4
10108.32;524.33;71.8
10101.14;526.72;79.0
10113.11;531.51;76.6
10103.53;519.54;76.6
10108.32;519.54;76.6
10110.71;517.15;71.8
10103.53;517.15;69.4
