time,value
400,-9504.98
401,-9502.59
402,-9488.22
403,-9500.19
404,-9504.98
405,-9481.04
406,-9488.22
407,-9504.98
408,-9485.83
409,-9481.04
410,-9502.59
411,-9495.40
412,-9471.46
413,-9490.62
414,-9509.77
415,-9495.40
416,-9485.83
417,-9497.80
418,-9485.83
419,-9490.62
420,-9497.80
421,-9488.22
422,-9469.07
423,-9500.19
424,-9504.98
425,-9488.22
426,-9483.43
427,-9512.16
428,-9490.62
429,-9481.04
430,-9490.62
431,-9495.40
432,-9495.40
433,-9495.40
434,-9507.37
435,-9476.25
436,-9481.04
437,-9502.59
438,-9493.01
439,-9483.43
440,-9497.80
441,-9497.80
442,-9476.25
443,-9478.64
444,-9497.80
445,-9481.04
446,-9481.04
447,-9493.01
448,-9473.86
449,-9473.86
450,-9493.01
451,-9497.80
452,-9483.43
453,-9488.22
454,-9500.19
455,-9490.62
456,-9481.04
457,-9493.01
458,-9502.59
459,-9481.04
460,-9490.62
461,-9512.16
462,-9490.62
463,-9483.43
464,-9502.59
465,-9493.01
466,-9473.86
467,-9497.80
468,-9512.16
469,-9490.62
470,-9493.01
471,-9493.01
472,-9493.01
473,-9478.64
474,-9504.98
475,-9509.77
476,-9485.83
477,-9488.22
478,-9507.37
479,-9500.19
480,-9483.43
481,-9500.19
482,-9516.95
483,-9495.40
484,-9497.80
485,-9504.98
486,-9493.01
487,-9478.64
488,-9500.19
489,-9490.62
490,-9473.86
491,-9483.43
492,-9500.19
493,-9471.46
494,-9469.07
495,-9500.19
496,-9497.80
497,-9473.86
498,-9490.62
499,-9504.98
500,-9483.43
501,-9478.64
502,-9495.40
503,-9490.62
504,-9478.64
505,-9483.43
506,-9493.01
507,-9483.43
508,-9490.62
509,-9507.37
510,-9488.22
511,-9488.22
512,-9502.59
513,-9493.01
514,-9476.25
515,-9490.62
516,-9504.98
517,-9481.04
518,-9481.04
519,-9495.40
520,-9483.43
521,-9483.43
522,-9488.22
523,-9493.01
524,-9476.25
525,-9481.04
526,-9497.80
527,-9488.22
528,-9483.43
529,-9497.80
530,-9500.19
531,-9478.64
532,-9495.40
533,-9500.19
534,-9481.04
535,-9473.86
536,-9502.59
537,-9497.80
538,-9478.64
539,-9497.80
540,-9493.01
541,-9493.01
542,-9493.01
543,-9488.22
544,-9488.22
545,-9490.62
546,-9509.77
547,-9490.62
548,-9478.64
549,-9497.80
550,-9500.19
551,-9483.43
552,-9478.64
553,-9497.80
554,-9481.04
555,-9481.04
556,-9502.59
557,-9500.19
558,-9481.04
559,-9495.40
560,-9502.59
561,-9478.64
562,-9483.43
563,-9514.56
564,-9495.40
565,-9476.25
566,-9495.40
567,-9502.59
568,-9488.22
569,-9495.40
570,-9509.77
571,-9485.83
572,-9473.86
573,-9495.40
574,-9490.62
575,-9476.25
576,-9500.19
577,-9495.40
578,-9476.25
579,-9483.43
580,-9500.19
581,-9476.25
582,-9466.67
583,-9490.62
584,-9497.80
585,-9473.86
586,-9488.22
587,-9495.40
588,-9490.62
589,-9483.43
590,-9502.59
591,-9488.22
592,-9473.86
593,-9497.80
594,-9502.59
595,-9476.25
596,-9483.43
597,-9504.98
598,-9481.04
599,-9483.43
600,-9500.19
601,-9500.19
602,-9488.22
603,-9495.40
604,-9478.64
605,-9478.64
606,-9497.80
607,-9500.19
608,-9478.64
609,-9471.46
610,-9500.19
611,-9493.01
612,-9483.43
613,-9495.40
614,-9507.37
615,-9478.64
616,-9476.25
617,-9497.80
618,-9478.64
619,-9478.64
620,-9485.83
621,-9493.01
622,-9478.64
623,-9497.80
624,-9497.80
625,-9493.01
626,-9478.64
627,-9500.19
628,-9500.19
629,-9481.04
630,-9478.64
631,-9507.37
632,-9485.83
633,-9483.43
634,-9495.40
635,-9490.62
636,-9500.19
637,-9500.19
638,-9504.98
639,-9485.83
640,-9497.80
641,-9502.59
642,-9483.43
643,-9481.04
644,-9512.16
645,-9502.59
646,-9471.46
647,-9493.01
648,-9507.37
649,-9485.83
650,-9495.40
651,-9507.37
652,-9481.04
653,-9483.43
654,-9512.16
655,-9493.01
656,-9488.22
657,-9504.98
658,-9509.77
659,-9483.43
660,-9481.04
661,-9493.01
662,-9478.64
663,-9478.64
664,-9504.98
665,-9490.62
666,-9488.22
667,-9502.59
668,-9504.98
669,-9473.86
670,-9483.43
671,-9502.59
672,-9485.83
673,-9476.25
674,-9500.19
675,-9485.83
676,-9481.04
677,-9493.01
678,-9497.80
679,-9476.25
680,-9485.83
681,-9509.77
682,-9483.43
683,-9478.64
684,-9500.19
685,-9497.80
686,-9478.64
687,-9490.62
688,-9509.77
689,-9490.62
690,-9485.83
691,-9507.37
692,-9483.43
693,-9476.25
694,-9493.01
695,-9500.19
696,-9481.04
697,-9495.40
698,-9507.37
699,-9493.01
700,-9481.04
701,-9493.01
702,-9495.40
703,-9478.64
704,-9490.62
705,-9504.98
706,-9490.62
707,-9485.83
708,-9504.98
709,-9504.98
710,-9490.62
711,-9507.37
712,-9507.37
713,-9478.64
714,-9490.62
715,-9504.98
716,-9483.43
717,-9478.64
718,-9500.19
719,-9495.40
720,-9476.25
721,-9481.04
722,-9504.98
723,-9488.22
724,-9478.64
725,-9500.19
726,-9483.43
727,-9478.64
728,-9490.62
729,-9495.40
730,-9473.86
731,-9488.22
732,-9500.19
733,-9485.83
734,-9473.86
735,-9504.98
736,-9507.37
737,-9483.43
738,-9490.62
739,-9488.22
740,-9488.22
741,-9481.04
742,-9512.16
743,-9493.01
744,-9488.22
745,-9504.98
746,-9512.16
747,-9485.83
748,-9490.62
749,-9519.35
750,-9493.01
751,-9478.64
752,-9500.19
753,-9500.19
754,-9476.25
755,-9490.62
756,-9500.19
757,-9476.25
758,-9478.64
759,-9512.16
760,-9497.80
761,-9485.83
762,-9497.80
763,-9493.01
764,-9473.86
765,-9488.22
766,-9502.59
767,-9485.83
768,-9512.16
769,-9512.16
770,-9497.80
771,-9485.83
772,-9490.62
773,-9495.40
774,-9478.64
775,-9490.62
776,-9504.98
777,-9488.22
778,-9488.22
779,-9504.98
780,-9495.40
781,-9476.25
782,-9493.01
783,-9512.16
784,-9485.83
785,-9488.22
786,-9504.98
787,-9473.86
788,-9473.86
789,-9495.40
790,-9493.01
791,-9493.01
792,-9488.22
793,-9502.59
794,-9493.01
795,-9485.83
796,-9500.19
797,-9490.62
798,-9473.86
799,-9488.22
800,-9507.37
801,-9483.43
802,-9488.22
803,-9502.59
804,-9490.62
805,-9481.04
806,-9502.59
807,-9497.80
808,-9488.22
809,-9497.80
810,-9495.40
811,-9471.46
812,-9481.04
813,-9500.19
814,-9497.80
815,-9469.07
816,-9493.01
817,-9507.37
818,-9483.43
819,-9483.43
820,-9493.01
821,-9478.64
822,-9497.80
823,-9497.80
824,-9485.83
825,-9478.64
826,-9488.22
827,-9507.37
828,-9476.25
829,-9488.22
830,-9507.37
831,-9495.40
832,-9476.25
833,-9495.40
834,-9507.37
835,-9473.86
836,-9485.83
837,-9500.19
838,-9490.62
839,-9490.62
840,-9507.37
841,-9495.40
842,-9490.62
843,-9490.62
844,-9502.59
845,-9481.04
846,-9488.22
847,-9512.16
848,-9488.22
849,-9485.83
850,-9507.37
851,-9502.59
852,-9483.43
853,-9493.01
854,-9512.16
855,-9490.62
856,-9488.22
857,-9497.80
858,-9493.01
859,-9478.64
860,-9495.40
861,-9507.37
862,-9490.62
863,-9485.83
864,-9504.98
865,-9495.40
866,-9469.07
867,-9502.59
868,-9500.19
869,-9478.64
870,-9481.04
871,-9502.59
872,-9485.83
873,-9495.40
874,-9495.40
875,-9497.80
876,-9483.43
877,-9483.43
878,-9488.22
879,-9478.64
880,-9488.22
881,-9509.77
882,-9488.22
883,-9469.07
884,-9495.40
885,-9507.37
886,-9478.64
887,-9483.43
888,-9502.59
889,-9493.01
890,-9483.43
891,-9495.40
892,-9495.40
893,-9478.64
894,-9500.19
895,-9504.98
896,-9483.43
897,-9483.43
898,-9490.62
899,-9490.62
900,-9478.64
901,-9497.80
902,-9495.40
903,-9476.25
904,-9481.04
